Название;Материал;Дата поступления;Дата документа о качестве;Документ о качестве;;Отбор проб;Номер документа о качестве;Предприятие изготовитель
173931;Грунт в кольцах ;22.03.2025;;;;22.03/25-04;;
173934;Грунт в кольцах ;14.03.2025;;;;86/113;;
173937;Грунт в кольцах ;22.03.2025;;;;22.03/25-05;;
173940;Песок по ГОСТ 8736;14.03.2025;11.03.2025;Файл: паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173940&field_id=PROPERTY_1419&file_id=206212&ncc=y&download=y&download=y;86/112;11/03/01;"ООО ""Строй-Трейд"""
173943;Грунт в кольцах ;21.02.2025;;;;20.02/43 ОП Р3 43К-13/0-50/кольца;;
173946;Грунт в кольцах ;22.03.2025;;;;22.03/25-06;;
173949;Грунт в кольцах ;14.03.2025;;;;86/111;;
173952;Грунт в кольцах ;22.03.2025;;;;22.03/25-07;;
173955;Грунт в кольцах ;22.03.2025;;;;22.03/25-08;;
173958;Бетонные образцы-кубы;20.03.2025;03.03.2025;Файл: паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173958&field_id=PROPERTY_1419&file_id=206226&ncc=y&download=y&download=y;86/108;0А00-002390;"ООО ""Штарком"""
173961;Грунт в кольцах ;22.03.2025;;;;22.03/25-09;;
173964;Бетонные образцы-кубы;20.03.2025;21.02.2025;Файл: паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173964&field_id=PROPERTY_1419&file_id=206231&ncc=y&download=y&download=y;86/105-3;0А00-001901;"ООО ""Штарком"""
173967;Грунт в кольцах ;21.02.2025;;;;20.02/43 ОП Р3 43К-13/0-50/кольца;;
173970;Грунт в кольцах ;22.03.2025;;;;22.03/25-17;;
173973;Грунт в кольцах ;20.03.2025;;;;1/ПК 859+30;;
173976;Грунт по ГОСТ 25100;24.02.2025;;;;20.02/43 ОП Р3 43К-13/0-50;;
173979;Песок по ГОСТ 8736;20.03.2025;17.03.2025;Файл: паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173979&field_id=PROPERTY_1419&file_id=206242&ncc=y&download=y&download=y;1/ПК 859+30;17/03/01;"ООО ""Строй-Трейд"""
173982;Бетонные образцы-кубы;20.03.2025;24.02.2025;Файл: паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173982&field_id=PROPERTY_1419&file_id=206246&ncc=y&download=y&download=y;86/105-4;0А00-002005;"ООО ""Штарком"""
173986;Песок по ГОСТ 8736;21.03.2025;09.03.2025;Файл: 3. Паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173986&field_id=PROPERTY_1419&file_id=206250&ncc=y&download=y&download=y;21.03/25-12;1;"ООО ""Гранит"""
173989;Песок по ГОСТ 8736;21.03.2025;;;;21.03/25-13;;
173992;Грунт по ГОСТ 25100;24.02.2025;;;;20.02.1/43 ОП Р3 43К-13/0-50;;
173995;Грунт по ГОСТ 25100;27.02.2025;;;;25.02/Т-13-13-РИС;;
173998;Щебень фр. 40-70 мм по ГОСТ 8267;21.03.2025;15.02.2025;Файл: 2. Паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173998&field_id=PROPERTY_1419&file_id=206310&ncc=y&download=y&download=y;21.03/25-11;2202;"ООО ""Инвестпроект"""
174001;Щебень фр. 10-20 мм по ГОСТ 8267;27.02.2025;13.02.2025;Файл: ДК 1421-11 от 13.02.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174001&field_id=PROPERTY_1419&file_id=206313&ncc=y&download=y&download=y;26.02/Т-13-13-РИС-1;1421-5/11;"АО ""Замчаловское КУ"""
174004;Песок по ГОСТ 8736;21.03.2025;;;;21.03/25-10;;
174007;Щебень фр. 40-70 мм по ГОСТ 8267;01.03.2025;20.02.2025;Файл: ДК 82 от 20.02.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174007&field_id=PROPERTY_1419&file_id=206318&ncc=y&download=y&download=y;28.02/Т-13-13-1;82;"ООО ""ШСУ-10"""
174010;ПГС по ГОСТ 23735;21.03.2025;;;;21.03/25-09;;
174013;Щебень фр. 40-70 мм по ГОСТ 8267;01.03.2025;26.02.2025;Файл: ДК 2956-3 от 26.02.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174013&field_id=PROPERTY_1419&file_id=206323&ncc=y&download=y&download=y;28.02/Т-13-13-2;2956-3;"ООО ""Обуховский щебзавод"""
174016;Грунт в кольцах ;21.03.2025;;;;21.03/25-01;;
174019;Грунт в кольцах ;21.03.2025;;;;21.03/25-02;;
174022;Грунт по ГОСТ 25100;03.03.2025;;;;03.03/Т-13-13-РИС-1;;
174025;Грунт в кольцах ;21.03.2025;;;;21.03/25-03;;
174028;Грунт в кольцах ;03.03.2025;;;;03.03/Т-13-13-РИС-2;;
174031;Грунт в кольцах ;21.03.2025;;;;21.03/25-04;;
174034;Грунт в кольцах ;21.03.2025;;;;21.03/25-05;;
174037;Грунт в кольцах ;21.03.2025;;;;21.03/25-06;;
174040;Грунт в кольцах ;21.03.2025;;;;21.03/25-07;;
174044;Грунт в кольцах ;21.03.2025;;;;21.03/25-08;;
174047;Щебень фр. 40-70 мм по ГОСТ 8267;06.03.2025;17.02.2025;Файл: ДК 17-02 от 17.02.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174047&field_id=PROPERTY_1419&file_id=206347&ncc=y&download=y&download=y;05.03/Т-13-13-2;17/02;"ООО ""Дельта"" (Красносулинский район)"
174050;ЩПС С-5 по ГОСТ 25607;07.03.2025;05.03.2025;Файл: ДК 1441-1-576 от 05.03.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174050&field_id=PROPERTY_1419&file_id=206350&ncc=y&download=y&download=y;06.03/Т-13-13-РИС-1;1441-1/576;"АО ""Замчаловское КУ"""
174053;Грунт по ГОСТ 25100;07.03.2025;;;;06.03/Т-13-13-РИС-2;;
174056;Грунт в кольцах ;07.03.2025;;;;06.03/Т-13-13-РИС-3;;
174059;Грунт по ГОСТ 25100;07.03.2025;;;;07.03/Т-13-13-РИС-4;;
174062;Грунт в кольцах ;20.03.2025;;;;20.03/25-02;;
174065;Грунт по ГОСТ 25100;07.03.2025;;;;07.03/Т-13-13-РИС-5;;
174068;Грунт в кольцах ;20.03.2025;;;;20.03/25-01;;
174071;Грунт по ГОСТ 25100;07.03.2025;;;;07.03/Т-13-13-РИС-6;;
174074;Грунт в кольцах ;20.03.2025;;;;20.03/25-05;;
174077;Грунт по ГОСТ 25100;07.03.2025;07.03.2025;;;07.03/Т-13-13-РИС-8;;
174080;Грунт в кольцах ;20.03.2025;;;;20.03/25-03;;
174083;Грунт в кольцах ;20.03.2025;;;;20.03/25-04;;
174086;Бетонные образцы-кубы;04.12.2024;04.12.2024;Файл: 1471.Бетон на 28 сутки от 04.12.24 испытание от 01.01.25-2.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174086&field_id=PROPERTY_1419&file_id=206374&ncc=y&download=y&download=y;04.12/24-09;041224/1;"АО ""Донаэродорстрой"""
174089;Грунт в кольцах ;20.03.2025;;;;20.03/25-07;;
174092;Грунт по ГОСТ 25100;07.03.2025;;;;07.03/Т-13-13-РИС-7;;
174097;Грунт в кольцах ;19.03.2025;;;;19.03/25-01;;
174100;Грунт по ГОСТ 25100;07.03.2025;;;;07.03/Т-13-13-РИС-9;;
174103;Грунт по ГОСТ 25100;07.03.2025;;;;07.03/Т-13-13-РИС-10;;
174107;Грунт по ГОСТ 25100;07.03.2025;;;;07.03/Т-13-13-РИС-11;;
174110;Бетонные образцы-кубы;05.12.2024;05.12.2024;Файл: 1472.Бетон на 28 суток от 05.12.24 испытание от 02.01.25-2.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174110&field_id=PROPERTY_1419&file_id=206395&ncc=y&download=y&download=y;05.12/24-01;051224/1;"АО ""Донаэродорстрой"""
174113;Грунт по ГОСТ 25100;07.03.2025;;;;07.03/Т-13-13-РИС-12;;
174116;Бетонные образцы-кубы;05.12.2024;05.12.2024;Файл: 1472.Бетон на 28 суток от 05.12.24 испытание от 02.01.25-6.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174116&field_id=PROPERTY_1419&file_id=206399&ncc=y&download=y&download=y;05.12/24-02;051224/2;"АО ""Донаэродорстрой"""
174121;Грунт по ГОСТ 25100;07.03.2025;;;;07.03/Т-13-13-РИС-13;;
174124;Грунт в кольцах ;07.03.2025;;;;07.03/Т-13-13-РИС-14;;
174127;Бетонные образцы-кубы;06.12.2024;06.12.2024;Файл: 1473.Бетон на 28 суток от 06.12.24 испытание от 03.01.25-2.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174127&field_id=PROPERTY_1419&file_id=206411&ncc=y&download=y&download=y;06.12/24-14;061224/1;"АО ""Донаэродорстрой"""
174130;Бетонные образцы-кубы;06.12.2024;06.12.2024;Файл: 1473.Бетон на 28 суток от 06.12.24 испытание от 03.01.25-6.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174130&field_id=PROPERTY_1419&file_id=206415&ncc=y&download=y&download=y;06.12/24-15;061224/2;"АО ""Донаэродорстрой"""
174133;Грунт по ГОСТ 25100;08.03.2025;;;;08.03/Т-13-03;;
174136;Бетонные образцы-кубы;06.12.2024;05.12.2024;Файл: Паспорт №05.12.2024_1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174136&field_id=PROPERTY_1419&file_id=206429&ncc=y&download=y&download=y;05/12;05.12.2024/1;"АО ""ДОНАЭРОДОРСТРОЙ"""
174138;Бетонные образцы-кубы;07.12.2024;07.12.2024;Файл: 1474.Бетон на 28 суток от 07.12.24 испытание от 04.01.25-2.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174138&field_id=PROPERTY_1419&file_id=206421&ncc=y&download=y&download=y;07.12/24-15;071224/1;"АО ""Донаэродорстрой"""
174141;Грунт в кольцах ;08.03.2025;;;;08.03.2/Т-13-03;;
174144;Бетонные образцы-кубы;08.12.2024;08.12.2024;Файл: 1475.Бетон на 28 суток от 08.12.24 испытание от 05.01.25-2.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174144&field_id=PROPERTY_1419&file_id=206426&ncc=y&download=y&download=y;08.12/24-07;081224/1;"АО ""Донаэродорстрой"""
174148;Грунт по ГОСТ 25100;12.03.2025;;;;10.03.1/Т-13-03;;
174151;Бетонные образцы-кубы;09.12.2024;09.12.2024;Файл: 1476.Бетон на 28 суток от 09.12.24 испытание от 06.01.25-2.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174151&field_id=PROPERTY_1419&file_id=206433&ncc=y&download=y&download=y;09.12/24-14;091224/1;"АО ""Донаэродорстрой"""
174155;Бетонные образцы-кубы;09.12.2024;09.12.2024;Файл: 1476.Бетон на 28 суток от 09.12.24 испытание от 06.01.25-6.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174155&field_id=PROPERTY_1419&file_id=206437&ncc=y&download=y&download=y;09.12/24-15;091224/2;"АО ""Донаэродорстрой"""
174158;Грунт в кольцах ;12.03.2025;;;;10.03.2/Т-13-03;;
174161;Бетонные образцы-кубы;10.12.2024;10.12.2024;Файл: 1477.Бетон на 28 суток от 10.12.24 испытание от 07.01.25-2.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174161&field_id=PROPERTY_1419&file_id=206442&ncc=y&download=y&download=y;10.12/25-15;101224/1;"АО ""Донаэродорстрой"""
174164;Грунт по ГОСТ 25100;13.03.2025;;;;10.03.1/Т-13-03;;
174167;Бетонные образцы-кубы;12.12.2024;12.12.2024;Файл: 1478.Бетон на 28 суток от 12.12.24 испытание от 09.01.25-2.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174167&field_id=PROPERTY_1419&file_id=206446&ncc=y&download=y&download=y;12.12/24-11.1;121224/1;"АО ""Донаэродорстрой"""
174170;Щебень фр. 5-10 мм по ГОСТ 8267;20.03.2025;25.02.2025;Файл: 2. Паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174170&field_id=PROPERTY_1419&file_id=206449&ncc=y&download=y&download=y;20.03/25-06;2941;"ООО ""Инвестпроект"""
174173;Бетонные образцы-кубы;13.12.2024;13.12.2024;Файл: 1480.Бетон на 28 суток от 13.12.24 испытание от 10.01.25-2.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174173&field_id=PROPERTY_1419&file_id=206452&ncc=y&download=y&download=y;13.12/24-12;131224/1;"АО ""Донаэродорстрой"""
174176;Бетонные образцы-кубы;10.02.2025;03.02.2025;Файл: Паспорт от 3 февраля БСТ 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174176&field_id=PROPERTY_1419&file_id=206455&ncc=y&download=y&download=y;0302/-БЕТ;БА-864;"ООО ""СОЮЗ"""
174179;Грунт в кольцах ;19.03.2025;;;;19.03/25-06;;
174184;Грунт по ГОСТ 25100;28.12.2024;;;;28.12/24-02;;
174187;Грунт в кольцах ;19.03.2025;;;;19.03/25-05;;
174190;Грунт по ГОСТ 25100;06.01.2025;;;;06.01/25-01;;
174196;Грунт в кольцах ;27.12.2024;;;;27.12/24-01;;
174199;Грунт в кольцах ;19.03.2025;;;;19.03/25-02;;
174201;Бетонные образцы-кубы;21.02.2025;;;;0502/-БЕТ;;
174204;Грунт в кольцах ;28.12.2024;;;;28.12/24-01;;
174207;Грунт в кольцах ;19.03.2025;;;;19.03/25-03;;
174209;Бетонные образцы-кубы;21.02.2025;;;;0502/-БЕТ2;;
174212;Грунт в кольцах ;06.01.2025;;;;06.01/25-02;;
174214;Бетонные образцы-кубы;21.02.2025;;;;0502/-БЕТ3;;
174217;Керны АБ SP-32Э по ГОСТ Р 58401.1;24.03.2025;;;;62 69;;
174220;Грунт в кольцах ;19.03.2025;;;;19.03/25-04;;
174223;Грунт в кольцах ;06.01.2025;;;;06.01/25-03;;
174226;Бетонные образцы-кубы;17.12.2024;16.12.2024;Файл: Паспорт №16.12.2024_2.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174226&field_id=PROPERTY_1419&file_id=206499&ncc=y&download=y&download=y;16/12/1;16.12.2024/2;"АО ""ДОНАЭРОДОРСТРОЙ"""
174228;Грунт в кольцах ;08.01.2025;;;;08.01/25-01;;
174230;Бетонные образцы-кубы;21.02.2025;;;;0602/-БЕТ;;
174232;Бетонные образцы-кубы;21.02.2025;;;;0702/-БЕТ;;
174235;Песок по ГОСТ 8736;18.03.2025;;;;18.03/25-12;;
174238;Грунт в кольцах ;08.01.2025;;;;08.01/25-02;;
174241;Бетонные образцы-кубы;21.02.2025;;;;0702/-БЕТ2;;
174246;Грунт в кольцах ;08.01.2025;;;;08.01/25-03;;
174248;Бетонные образцы-кубы;21.02.2025;;;;0702/-БЕТ3;;
174251;Песок по ГОСТ 8736;18.03.2025;;;;18.03/25-13;;
174253;Бетонные образцы-кубы;21.02.2025;;;;1002/-БЕТ;;
174256;Грунт в кольцах ;09.01.2025;;;;09.01/25-01;;
174259;Песок по ГОСТ 8736;18.03.2025;09.03.2025;Файл: 2. Паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174259&field_id=PROPERTY_1419&file_id=206512&ncc=y&download=y&download=y;18.03/25-14;1;"ООО ""Гранит"""
174261;Бетонные образцы-кубы;21.02.2025;;;;1102/-БЕТ;;
174263;Бетонные образцы-кубы;21.02.2025;;;;1102/-БЕТ2;;
174265;Бетонные образцы-кубы;21.02.2025;;;;1202/-БЕТ;;
174267;Бетонные образцы-кубы;21.02.2025;;;;1302/-БЕТ2;;
174270;Песок по ГОСТ 8736;18.03.2025;;;;18.03/25-15;;
174272;Бетонные образцы-кубы;21.02.2025;;;;1402/-БЕТ2;;
174275;Бетонные образцы-кубы;17.12.2024;16.12.2024;Файл: Паспорт №16.12.2024 от 16.12.2024.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174275&field_id=PROPERTY_1419&file_id=206522&ncc=y&download=y&download=y;16/12/2;16.12.2024/1;"АО ""ДОНАЭРОДОРСТРОЙ"""
174277;Бетонные образцы-кубы;21.02.2025;;;;1402/-БЕТ;;
174279;Бетонные образцы-кубы;21.02.2025;;;;1702/-БЕТ;;
174281;Бетонные образцы-кубы;21.02.2025;;;;1802/-БЕТ;;
174284;Грунт в кольцах ;18.03.2025;;;;18.03/25-02;;
174286;Бетонные образцы-кубы;21.02.2025;;;;1802/-БЕТ3;;
174289;Грунт в кольцах ;19.03.2025;;;;18.03/25-03;;
174291;Бетонные образцы-кубы;21.02.2025;;;;1802/-БЕТ2;;
174294;Грунт в кольцах ;18.03.2025;;;;18.03/25-04;;
174297;Бетонные образцы-кубы;14.12.2024;14.12.2024;Файл: 1489.Бетон на 28 суток от 14.12.24 испытание от 11.01.25-2.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174297&field_id=PROPERTY_1419&file_id=206536&ncc=y&download=y&download=y;14.12/24-16;141224/1;"АО ""Донаэродорстрой"""
174300;Грунт в кольцах ;18.03.2025;;;;18.03/25-05;;
174303;ЩПС С-4 по ГОСТ 25607;10.01.2025;16.12.2024;Файл: 1490. Протокол испытания ЩПС С-4 ООО СУ 926 от 10.01.2025 испытание 12.01.2025-2.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174303&field_id=PROPERTY_1419&file_id=206541&ncc=y&download=y&download=y;10.01/25-02;850;Ларинское 1
174306;Грунт в кольцах ;18.03.2025;;;;18.03/25-06;;
174312;Бетонные образцы-кубы;18.12.2024;16.12.2024;Файл: Паспорт №17.12.2024_1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174312&field_id=PROPERTY_1419&file_id=206546&ncc=y&download=y&download=y;17/12;17.12.2024;"АО ""ДОНАЭРОДОРСТРОЙ"""
174315;Грунт в кольцах ;18.03.2025;;;;18.03/25-07;;
174318;Бетонные образцы-кубы;23.12.2024;03.12.2024;Файл: паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174318&field_id=PROPERTY_1419&file_id=206551&ncc=y&download=y&download=y;б/н;173;"ООО ""Трансстроймеханизация"""
174321;Грунт в кольцах ;18.03.2025;;;;18.03/25-08;;
174324;Грунт в кольцах ;18.03.2025;;;;18.03/25-09;;
174327;Грунт по ГОСТ 25100;11.01.2025;;;;11.01/25-01;;Вострецова-Коса
174330;Грунт в кольцах ;18.03.2025;;;;18.03/25-10;;
174333;Бетонные образцы-кубы;27.12.2024;25.12.2024;Файл: паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174333&field_id=PROPERTY_1419&file_id=206562&ncc=y&download=y&download=y;б/н;216;"ООО ""Трансстроймеханизация"""
174336;Грунт в кольцах ;18.03.2025;;;;18.03/25-11;;
174340;Грунт по ГОСТ 25100;10.01.2025;;;;133;;
174343;Щебень фр. 5-20 мм по ГОСТ 8267;18.03.2025;28.10.2024;Файл: 2. Паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174343&field_id=PROPERTY_1419&file_id=206569&ncc=y&download=y&download=y;18.03/25-01;21073;"ООО ""Инвестпроект"""
174346;Грунт в кольцах ;10.01.2025;;;;137;;
174349;Грунт по ГОСТ 25100;07.02.2025;;;;152;;
174352;Песок по ГОСТ 8736;10.01.2025;30.08.2024;Файл: паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174352&field_id=PROPERTY_1419&file_id=206577&ncc=y&download=y&download=y;134;30/08;"ООО ""Тэка-Сервис"""
174355;Бетонные образцы-кубы;16.12.2024;16.12.2024;Файл: 1492. Протоколы Бетон 28 суток от 16.12.2024 испытание 13.01.2025-2.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174355&field_id=PROPERTY_1419&file_id=206580&ncc=y&download=y&download=y;16.12/24-08;161224/1;"АО ""Донаэродорстрой"""
174358;Бетонные образцы-кубы;18.12.2024;17.12.2024;Файл: Паспорт 17-12-2024_2 бетон В20.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174358&field_id=PROPERTY_1419&file_id=206583&ncc=y&download=y&download=y;17/12/1;17.12.2024/2;"АО ""ДОНАЭРОДОРСТРОЙ"""
174361;Грунт в кольцах ;07.02.2025;;;;154;;
174364;Щебень фр. 20-40 мм по ГОСТ 8267;10.01.2025;04.12.2024;Файл: паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174364&field_id=PROPERTY_1419&file_id=206588&ncc=y&download=y&download=y;142;0412-6;"АО ""Щебеночный завод ""Турдейский"""
174367;Грунт по ГОСТ 25100;07.02.2025;;;;153;;
174370;Грунт в кольцах ;13.03.2025;;;;12.03.2/Т-13-03;;
174373;Грунт по ГОСТ 25100;10.01.2025;;;;135;;
174376;Грунт в кольцах ;07.02.2025;;;;155;;
174379;Грунт в кольцах ;10.01.2025;;;;10.01/25-01;;
174382;Грунт в кольцах ;10.01.2025;;;;138;;
174385;Грунт в кольцах ;07.02.2025;;;;167;;
174388;Грунт в кольцах ;07.02.2025;;;;159;;
174391;Грунт по ГОСТ 25100;12.01.2025;;;;12.01/25-01;;
174394;Грунт по ГОСТ 25100;07.02.2025;;;;169;;
174400;ЩПС С-4 по ГОСТ 25607;10.01.2025;22.12.2024;Файл: паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174400&field_id=PROPERTY_1419&file_id=206616&ncc=y&download=y&download=y;136;Т-349;"ООО ""КОНТО-ОЙЛ"""
174403;Песок по ГОСТ 8736;12.01.2025;;;;12.01/25-04;;Чугарыш
174406;Грунт по ГОСТ 25100;12.01.2025;;;;12.01/25-04;;Чугарыш
174409;Грунт в кольцах ;07.02.2025;;;;163164;;
174412;Керны АБ к/з пл. тип Б М II по ГОСТ 9128;14.03.2025;;;;13.03.1/Т-13-03;;
174415;ПГС по ГОСТ 23735;13.01.2025;;;;13.01/25-03;;Вострецова-Коса
174418;Грунт в кольцах ;07.02.2025;;;;165;;
174421;Грунт в кольцах ;17.01.2025;;;;144;;
174424;Грунт в кольцах ;12.01.2025;;;;12.01/25-02;;
174427;Грунт в кольцах ;07.02.2025;;;;166;;
174430;Грунт в кольцах ;07.02.2025;;;;168;;
174433;Грунт по ГОСТ 25100;12.01.2025;;;;12.01/25-03;;
174436;Грунт в кольцах ;16.03.2025;;;;15.03.2/Т-13-03 ;;
174439;Грунт в кольцах ;17.01.2025;;;;143;;
174442;Грунт по ГОСТ 25100;14.02.2025;;;;174-1;;
174445;Грунт в кольцах ;13.01.2025;;;;13.01/25-01;;
174448;Грунт в кольцах ;13.01.2025;;;;13.01/25-01;;
174451;Грунт в кольцах ;14.02.2025;;;;176-1;;
174454;Грунт в кольцах ;13.01.2025;;;;13.01/25-02;;
174457;Грунт в кольцах ;16.03.2025;;;;15.03.1/Т-13-03;;
174459;Грунт в кольцах ;14.02.2025;;;;174-2;;
174463;ЩПС С-4 по ГОСТ 25607;17.01.2025;10.01.2025;Файл: паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174463&field_id=PROPERTY_1419&file_id=206671&ncc=y&download=y&download=y;147;Т-6;"ООО ""КОНТО-ОЙЛ"""
174466;Грунт по ГОСТ 25100;05.02.2025;;;;181-1;;
174469;Грунт в кольцах ;19.02.2025;;;;181-3;;
174472;Грунт по ГОСТ 25100;17.01.2025;;;;145;;
174475;Керны АБ к/з пл. тип Б М II по ГОСТ 9128;22.03.2025;;;;20.03.1/Т-13-03;;
174478;Грунт по ГОСТ 25100;19.02.2025;;;;182-1;;
174481;Грунт в кольцах ;17.01.2025;;;;148;;
174484;Грунт в кольцах ;19.02.2025;;;;182-3 183-3 187-2;;
174487;Грунт по ГОСТ 25100;17.01.2025;;;;146;;
174490;Грунт по ГОСТ 25100;19.02.2025;;;;187-1;;
174493;Грунт в кольцах ;19.02.2025;;;;190191;;
174496;Грунт по ГОСТ 25100;19.02.2025;;;;189;;
174499;Грунт в кольцах ;14.01.2025;;;;14.01/25-01;;Чугарыш
174502;ЩПС С-4 по ГОСТ 25607;25.02.2025;23.01.2025;Файл: ДК 3609-491 от 23.01.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174502&field_id=PROPERTY_1419&file_id=206697&ncc=y&download=y&download=y;24.02/Т-13-13 АДИ;3609-1/491;"ООО ""Донской камень"""
174505;Грунт в кольцах ;19.02.2025;;;;182-2 183-1;;
174508;Грунт в кольцах ;19.02.2025;;;;183-2;;
174511;Грунт в кольцах ;13.02.2025;;;;188-1;;
174514;Бетонные образцы-кубы;17.01.2025;06.12.2024;Файл: паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174514&field_id=PROPERTY_1419&file_id=206706&ncc=y&download=y&download=y;123-1-1;179;"ООО ""Трансстроймеханизация"""
174517;Грунт в кольцах ;19.02.2025;;;;181-2;;
174520;Грунт в кольцах ;14.01.2025;;;;14.01/25-02;;Алтаевский
