Название;Сортировка;ПЛП;Наименование объекта;Документ отбора проб;Ссылка;Место отбора проб;Дата отбора проб;Лицо, предоставившее пробу;Номер акта отбора проб;Примечание
209060;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 2333. Протоколы Бетон 7 суток от 05.11.2025 испытание 12.11.2025-04.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209060&field_id=PROPERTY_1409&file_id=237312&ncc=y&download=y&download=y;ПК 196+22;05.11.2025;ГЛК;0511Б-2;
209063;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 2333. Протоколы Бетон 7 суток от 05.11.2025 испытание 12.11.2025-07.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209063&field_id=PROPERTY_1409&file_id=237315&ncc=y&download=y&download=y;ПК 1304+50 лево;05.11.2025;ГЛК;0511Б-3;
209066;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 2333. Протоколы Бетон 7 суток от 05.11.2025 испытание 12.11.2025-10.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209066&field_id=PROPERTY_1409&file_id=237318&ncc=y&download=y&download=y;ПК 1300 право;05.11.2025;ГЛК;0511Б-4;
209074;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: 29.11.2025 акт 29.11-25-01.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209074&field_id=PROPERTY_1409&file_id=237325&ncc=y&download=y&download=y;км 86 АБЗ М-3 Автобан;29.11.2025;ГЛК;29.11/25-01;
209077;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: 01.12.2025 акт 01.12-25-01.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209077&field_id=PROPERTY_1409&file_id=237327&ncc=y&download=y&download=y;км 86 М-3 База Автобан;01.12.2025;ГЛК;01.12/25-01;
209080;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 2338.1 Протокол смесь А22Нн СК Автодор от 13.11.2026 испытание 14.11.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209080&field_id=PROPERTY_1409&file_id=237330&ncc=y&download=y&download=y;ПК 642;13.11.2025;ГЛК;1311АБС;
209083;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: 29.11.2025 акт 29.11-25-02.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209083&field_id=PROPERTY_1409&file_id=237332&ncc=y&download=y&download=y;км 86 АБЗ М-3 База Автобан;29.11.2025;ГЛК;29.11/25-02;
209086;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 2336. Протоколы Бетон 7 суток от 07.11.2025 испытание 14.11.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209086&field_id=PROPERTY_1409&file_id=237334&ncc=y&download=y&download=y;ПК 926+80 лево;07.11.2025;ГЛК;0711Б-1;
209089;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: 02.12.2025 акт 02.12-25-02.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209089&field_id=PROPERTY_1409&file_id=237337&ncc=y&download=y&download=y;км 86 М-3 База Автобан;02.12.2025;ГЛК;02.12/25-02;
209092;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 2336. Протоколы Бетон 7 суток от 07.11.2025 испытание 14.11.2025-4.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209092&field_id=PROPERTY_1409&file_id=237340&ncc=y&download=y&download=y;ПК 1300 право;07.11.2025;ГЛК;0711Б-2;
209095;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: 03.12.2025 акт 03.12-25-03.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209095&field_id=PROPERTY_1409&file_id=237343&ncc=y&download=y&download=y;км 86 АБЗ М-3 База Автобан;03.12.2025;ГЛК;03.12/25-03;
209098;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 2334. Протоколы Бетон 7 суток от 06.11.2025 испытание 13.11.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209098&field_id=PROPERTY_1409&file_id=237345&ncc=y&download=y&download=y;ПК 1191+11 лево;06.11.2025;ГЛК;0611Б-1;
209101;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: 03.12.2025 акт 03.12-25-03.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209101&field_id=PROPERTY_1409&file_id=237348&ncc=y&download=y&download=y;км 86 М-3 База Автобан;03.12.2025;ГЛК;03.12/25-03;
209105;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 2334. Протоколы Бетон 7 суток от 06.11.2025 испытание 13.11.2025-4.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209105&field_id=PROPERTY_1409&file_id=237352&ncc=y&download=y&download=y;ПК 1278+00;06.11.2025;ГЛК;0611Б-2;
209110;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: 04.12.2025 акт 04.12-25-01.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209110&field_id=PROPERTY_1409&file_id=237357&ncc=y&download=y&download=y;км 86 АБЗ М-3 База Автобан;04.12.2025;ГЛК;04.12/25-01;
209117;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: 04.12.2025 акт 04.12-25-02.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209117&field_id=PROPERTY_1409&file_id=237381&ncc=y&download=y&download=y;км 86 АБЗ М-3 База Автобан;04.12.2025;ГЛК;04.12/25-02;
209120;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 2334. Протоколы Бетон 7 суток от 06.11.2025 испытание 13.11.2025-7.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209120&field_id=PROPERTY_1409&file_id=237383&ncc=y&download=y&download=y;ПК 1301+72 лево;06.11.2025;ГЛК;0611Б-3;
209123;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: 04.12.2025 акт 04.12-25-03.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209123&field_id=PROPERTY_1409&file_id=237386&ncc=y&download=y&download=y;км 86 М-3 База Автобан;04.12.2025;ГЛК;04.12/25-03;
209126;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: 05.12.2025 акт 05.12-25-01.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209126&field_id=PROPERTY_1409&file_id=237389&ncc=y&download=y&download=y;км 86 М-3 База Автобан;05.12.2025;ГЛК;05.12/25-01;
209136;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: 28.11.2025 акт № 27.11.25-02.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209136&field_id=PROPERTY_1409&file_id=237394&ncc=y&download=y&download=y;ПК 334+87,93 лево 8м h=175.36;27.11.2025;ГЛК;27.11/25-02;
209139;500;ПЛП 6;РЕК М-1 км45-км66;Файл: 12.11.2025 акт № 02-03.11.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209139&field_id=PROPERTY_1409&file_id=237396&ncc=y&download=y&download=y;шнек асфальтоукладчика, км 48 прямое направление;03.11.2025;ГСК;02-03/11/2025;
