Название;Сортировка;ПЛП;Наименование объекта;Документ отбора проб;Ссылка;Место отбора проб;Дата отбора проб;Лицо, предоставившее пробу;Номер акта отбора проб;Примечание
05.03/25-06;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1456.Грунт Купл от 05.03.2025 испытание от 06.03.2025-10.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175965&field_id=PROPERTY_1409&file_id=207937&ncc=y&download=y&download=y;Земляное полотно 12,13,14-й слой, уч. ПК 1050+00 - ПК 1050+50;05.03.2025;ГЛК;05.03/25-06;
05.03/25-07;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1456.Грунт Купл от 05.03.2025 испытание от 06.03.2025-12.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175968&field_id=PROPERTY_1409&file_id=207939&ncc=y&download=y&download=y;ПК 1050+76, ИССО-10, ОП2, конус 1,2-й слой;05.03.2025;ГЛК;05.03/25-07;
05.03/25-08;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1456.Грунт Купл от 05.03.2025 испытание от 06.03.2025-14.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175971&field_id=PROPERTY_1409&file_id=207941&ncc=y&download=y&download=y;Земляное полотно 4,5-й слой, уч. ПК 1050+38 - ПК 1050+44;05.03.2025;ГЛК;05.03/25-08;
05.03/25-09;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1456.Грунт Купл от 05.03.2025 испытание от 06.03.2025-16.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175974&field_id=PROPERTY_1409&file_id=207943&ncc=y&download=y&download=y;ПК 1127+43,41, ИССО-15, ОП3, 2-й слой обратной засыпки гибкого ростверка;05.03.2025;ГЛК;05.03/25-09;
05.03/25-10;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1466.Грунт Купл от 05.03.2025 испытание от 07.03.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=176022&field_id=PROPERTY_1409&file_id=207975&ncc=y&download=y&download=y;ПК 1160+50, обратная засыпка ВПТ 1,2,3 слой;05.03.2025;ГЛК;05.03/25-10;
05.03/25-11;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1456.Грунт Купл от 05.03.2025 испытание от 06.03.2025-19.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175977&field_id=PROPERTY_1409&file_id=207945&ncc=y&download=y&download=y;Земляное полотно 6-й слой, уч. ПК 1239+60 - ПК 1240+40;05.03.2025;ГЛК;05.03/25-11;
05.03/25-12;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1456.Грунт Купл от 05.03.2025 испытание от 06.03.2025-20.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175980&field_id=PROPERTY_1409&file_id=207947&ncc=y&download=y&download=y;Земляное полотно 7-й слой, уч. ПК 1254+20 - ПК 1255+90;05.03.2025;ГЛК;05.03/25-12;
05.03/25-13;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1485.Бетон на 7 суток от 05.03.2025 испытание от 12.03.2025-4.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=176246&field_id=PROPERTY_1409&file_id=208148&ncc=y&download=y&download=y;ПК 1311, обойма на врезке трубы в колодец;05.03.2025;ГЛК;05.03/25-13;
05.03/25-14;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1485.Бетон на 7 суток от 05.03.2025 испытание от 12.03.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=176243&field_id=PROPERTY_1409&file_id=208145&ncc=y&download=y&download=y;ПК 1395, укрепление кюветов;05.03.2025;ГЛК;05.03/25-14;
05.03/Т-13-13-2;500;ПЛП 4;КР 43 ОП РЗ 43К-13 км 0+000 - км 75+780 (I этап км 0+000-км 50+780);Файл: АОП 05.03-Т13-13-2.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174046&field_id=PROPERTY_1409&file_id=206346&ncc=y&download=y&download=y;Штабель ПБ пгт Лозно-Александровка;05.03.2025;ГСК;05.03/Т-13-13-2;
05.04/25-01;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1607. Грунт (Купл) отбор 05.04.25 (испытание 06.04.2025)-01.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179257&field_id=PROPERTY_1409&file_id=211077&ncc=y&download=y&download=y;ПК 1057+77,69, обратная засыпка перед ИССО-11 16,17,18,19-й слой;05.04.2025;ГЛК;05.04/25-01;
05.04/25-01;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Песок ПК 956+00 ПАД ПК 1+00-ПК 1+50 ДСО 05.04.25-01 (испытание 06.04.2025)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179967&field_id=PROPERTY_1409&file_id=211901&ncc=y&download=y&download=y;ДСО ПК 956+00, уч. ПК 1+00 - ПК 1+50;05.04.2025;ГЛК;05.04/25-01;
05.04/25-02;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Песок ПК 979+31-ПК 979+64 Конус ОП3 (13 слой) 05.04.25-02 (испытание 06.04.2025) Устр. замеч.-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179979&field_id=PROPERTY_1409&file_id=211910&ncc=y&download=y&download=y;ПК 979+31 - ПК 979+64, ОП3 конус 13-й слой;05.04.2025;ГЛК;05.04/25-02;
05.04/25-02;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1607. Грунт (Купл) отбор 05.04.25 (испытание 06.04.2025)-03.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179260&field_id=PROPERTY_1409&file_id=211079&ncc=y&download=y&download=y;ПК 1127+43,41, ИССО-15, ОП1 и ОП3, конус 28-й слой;05.04.2025;ГЛК;05.04/25-02;
05.04/25-03;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1607. Грунт (Купл) отбор 05.04.25 (испытание 06.04.2025)-05.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179263&field_id=PROPERTY_1409&file_id=211081&ncc=y&download=y&download=y;ПК 1011+00, обратная засыпка ЛОС лево 15,16,17-й слой;05.04.2025;ГЛК;05.04/25-03;
05.04/25-03;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. ПГС ПК 991+19-ПК 991+33 Конус ОП1 (10 слой) 05.04.25-03 (испытание 06.04.2025) Устр. замеч.-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179958&field_id=PROPERTY_1409&file_id=211895&ncc=y&download=y&download=y;ПК 991+19 - ПК 991+33, конус ОП1;05.04.2025;ГЛК;05.04/25-03;Устранение замечаний
05.04/25-04;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1607. Грунт (Купл) отбор 05.04.25 (испытание 06.04.2025)-07.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179266&field_id=PROPERTY_1409&file_id=211083&ncc=y&download=y&download=y;ЗП 7,8-й слой, уч. ПК 1238+10 - ПК 1238+41;05.04.2025;ГЛК;05.04/25-04;
05.04/25-04;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. ПГС ПК 991 Конус ОП2 (7-8 слой) 05.04.25-04 (испытание 06.04.2025) Устр. замеч.-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179955&field_id=PROPERTY_1409&file_id=211893&ncc=y&download=y&download=y;ПК 991+00, ОП2 конус 7,8-й слой;05.04.2025;ГЛК;05.04/25-04;
05.04/25-05;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Песок ПК 997+55 Конус ОП1 (1-4, 9-13 слой) 05.04.25-05 (испытание 06.04.25) Устр. замеч.-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179985&field_id=PROPERTY_1409&file_id=211914&ncc=y&download=y&download=y;ПК 997+55,64 - ПК 997+69,64, обратная засыпка;05.04.2025;ГЛК;05.04/25-05;Устранение замечаний
05.04/25-05;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1607. Грунт (Купл) отбор 05.04.25 (испытание 06.04.2025)-09.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179269&field_id=PROPERTY_1409&file_id=211085&ncc=y&download=y&download=y;ЗП 18-й слой, уч. ПК 1304+50 - ПК 1306;05.04.2025;ГЛК;05.04/25-05;
05.04/25-06;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Песок ПК 997+55 Конус ОП2 (9-10 слой) 05.04.25-06 (испытание 06.04.25) Устр. замеч.-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179988&field_id=PROPERTY_1409&file_id=211916&ncc=y&download=y&download=y;ПК 997+55,64 - ПК 997+15,14, обратная засыпка ОП2;05.04.2025;ГЛК;05.04/25-06;Устранение замечаний
05.04/25-06;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1607. Грунт (Купл) отбор 05.04.25 (испытание 06.04.2025)-11.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179272&field_id=PROPERTY_1409&file_id=211087&ncc=y&download=y&download=y;ЗП 1,2,3-й слой, МФЗ ПК 1300+00, уч. ПК 5+59,19 - ПК 6+34,57;05.04.2025;ГЛК;05.04/25-06;
05.04/25-07;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1607. Грунт (Купл) отбор 05.04.25 (испытание 06.04.2025)-13.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179275&field_id=PROPERTY_1409&file_id=211089&ncc=y&download=y&download=y;ДСО 2-й слой, уч. ПК 1293+50 - ПК 1295+00;05.04.2025;ГЛК;05.04/25-07;
05.04/25-07;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. ПГС ПК 998+00-ПК 1000+00 ДСО 05.04.25-07 (испытание 06.04.25) Устр. замеч.-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179961&field_id=PROPERTY_1409&file_id=211897&ncc=y&download=y&download=y;ДСО, уч. ПК 998+00 - ПК 1000+00;05.04.2025;ГЛК;05.04/25-07;
05.04/25-08;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1607. Грунт (Купл) отбор 05.04.25 (испытание 06.04.2025)-15.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179278&field_id=PROPERTY_1409&file_id=211091&ncc=y&download=y&download=y;ПК 1278+50 ОП2, 1-й слой гибкого ростверка;05.04.2025;ГЛК;05.04/25-08;
05.04/25-09;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1607. Грунт (Купл) отбор 05.04.25 (испытание 06.04.2025)-17.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179281&field_id=PROPERTY_1409&file_id=211093&ncc=y&download=y&download=y;ПК 1266+72 (Бермы) земляное полотно;05.04.2025;ГЛК;05.04/25-09;
05.04/25-10;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1607. Грунт (Купл) отбор 05.04.25 (испытание 06.04.2025)-19.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179284&field_id=PROPERTY_1409&file_id=211095&ncc=y&download=y&download=y;ПК 1311+82, обратная засыпка ЛОС, 23-й слой;05.04.2025;ГЛК;05.04/25-10;
05.04/25-11;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1607. Грунт (Купл) отбор 05.04.25 (испытание 06.04.2025)-21.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179287&field_id=PROPERTY_1409&file_id=211097&ncc=y&download=y&download=y;Основание под рабочий слой, уч. ПК 1306+00 - ПК 1306+20;05.04.2025;ГЛК;05.04/25-11;
05.04/25-12;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1633. Протоколы Бетон 7 суток от 05.04.2025 испытание 12.04.2025-01.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=181448&field_id=PROPERTY_1409&file_id=213458&ncc=y&download=y&download=y;ПК 1312+13;05.04.2025;ГЛК;05.04/25-12;
05.04/25-13;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1633. Протоколы Бетон 7 суток от 05.04.2025 испытание 12.04.2025-04.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=181451&field_id=PROPERTY_1409&file_id=213461&ncc=y&download=y&download=y;ПК 1395;05.04.2025;ГЛК;05.04/25-13;
05.04/25-14;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1633. Протоколы Бетон 7 суток от 05.04.2025 испытание 12.04.2025-07.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=181454&field_id=PROPERTY_1409&file_id=213464&ncc=y&download=y&download=y;ПК 1316;05.04.2025;ГЛК;05.04/25-14;
05.04/25-15;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1633. Протоколы Бетон 7 суток от 05.04.2025 испытание 12.04.2025-10.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=181457&field_id=PROPERTY_1409&file_id=213467&ncc=y&download=y&download=y;ПК 1311;05.04.2025;ГЛК;05.04/25-15;
05.04/25-17;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1633. Протоколы Бетон 7 суток от 05.04.2025 испытание 12.04.2025-16.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=181463&field_id=PROPERTY_1409&file_id=213473&ncc=y&download=y&download=y;ПК 1264+32,74 ИССО 20;05.04.2025;ГЛК;05.04/25-17;
05.04/25-18;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1633. Протоколы Бетон 7 суток от 05.04.2025 испытание 12.04.2025-19.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=181466&field_id=PROPERTY_1409&file_id=213476&ncc=y&download=y&download=y;ПК 1138+10 ИССО 16;05.04.2025;ГЛК;05.04/25-18;
05.04/25-19;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1633. Протоколы Бетон 7 суток от 05.04.2025 испытание 12.04.2025-22.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=181469&field_id=PROPERTY_1409&file_id=213479&ncc=y&download=y&download=y;ПК 1020+00 ИССО 8 опора 2;05.04.2025;ГЛК;05.04/25-19;
05.04/25-20;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1614.Инертные материалы ТСМ от 05.04.2025 испытание от 08.04.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180083&field_id=PROPERTY_1409&file_id=212004&ncc=y&download=y&download=y;ПК 1260.;05.04.2025;ГЛК;05.04/25-20;
05.12/24-01;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1472.Бетон на 28 суток от 05.12.24 испытание от 02.01.25-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174109&field_id=PROPERTY_1409&file_id=206394&ncc=y&download=y&download=y;ПК 1308;05.12.2024;ГЛК;05.12/24-01;
05.12/24-02;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1472.Бетон на 28 суток от 05.12.24 испытание от 02.01.25-5.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174115&field_id=PROPERTY_1409&file_id=206405&ncc=y&download=y&download=y;ПК 1316;05.12.2024;ГЛК;05.12/24-02;
05/01/2025;500;ПЛП 5;"СТР ТР М-11 км 681 ""Пулково-1""";Файл: Акт №05 01 2025 от 05.01.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=173060&field_id=PROPERTY_1409&file_id=205166&ncc=y&download=y&download=y;"Строительство ТР681 а/д М-11 ""Нева"", Эстакада на съезде С5";05.01.2025;ГСК;05/01/2025;
05/03/2025;500;ПЛП 5;"СТР ТР М-11 км 681 ""Пулково-1""";Файл: Акт отбора В25 №05.03.2025 (паспорт 1373).pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=181139&field_id=PROPERTY_1409&file_id=213152&ncc=y&download=y&download=y;"Объект Строительство транспортной развязки на км 681 автомобильной дороги М-11 ""Нева"", Эстакада на съезде С5";05.03.2025;ГСК;05/03/2025;
05/03/2025;500;ПЛП 5;"СТР ТР М-11 км 681 ""Пулково-1""";Файл: Акт отбора В25 №05.03.2025 (паспорт 1357).pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=181145&field_id=PROPERTY_1409&file_id=213158&ncc=y&download=y&download=y;"Объект Строительство транспортной развязки на км 681 автомобильной дороги М-11 ""Нева"", Эстакада на съезде С6";05.03.2025;ГСК;05/03/2025;
05/03/2025/2;500;ПЛП 5;"СТР ТР М-11 км 681 ""Пулково-1""";Файл: Акт отбора В25 №05.03.2025.2 (паспорт 1359).pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=181136&field_id=PROPERTY_1409&file_id=213149&ncc=y&download=y&download=y;"Объект Строительство транспортной развязки на км 681 автомобильной дороги М-11 ""Нева"", Съезд №2";05.03.2025;ГСК;05/03/2025/2;
05/03/25/1/1187;500;ПЛП 6;РЕК М3 км 65 - км 86 I ПК;Файл: протокол № 05032511187 от 07.03.2025 (1)-001.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=181311&field_id=PROPERTY_1409&file_id=213360&ncc=y&download=y&download=y;ПК 65+00 справа;05.03.2025;ГСК;05/03/25/1/1187;карьер Потресово Земляное полотно
05/03/25/2/1187;500;ПЛП 6;РЕК М3 км 65 - км 86 I ПК;Файл: протокол № 05032521187 от 07.03.2025 (1)-001.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=181305&field_id=PROPERTY_1409&file_id=213355&ncc=y&download=y&download=y;ПК 65+30 справа;05.03.2025;ГСК;05/03/25/2/1187;карьер Козловское Рабочий слой
05/03/25/3/1187;500;ПЛП 6;РЕК М3 км 65 - км 86 I ПК;Файл: протокол № 05032531187 от 07.03.2025 (1)-001.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=181299&field_id=PROPERTY_1409&file_id=213349&ncc=y&download=y&download=y;ПК 118+00 справа;05.03.2025;ГСК;05/03/25/3/1187;карьер Козловское ППС
05/04-ЩМА11-С;500;ПЛП 2;РЕМ М-4 км 1050+000 ? км 1063+000;Файл: 05-04-щма11-с от 05.04.2025 смесь щма-11.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180895&field_id=PROPERTY_1409&file_id=212933&ncc=y&download=y&download=y;км1050+000-км1055+000, ПК 2+00, легковая полоса, прямое направление;05.04.2025;ГСК;05/04-ЩМА11-С;
05/12;500;ПЛП 2;КО М4 км 777 - км 933;Файл: Акт 05_12 от 05.12.2024.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174135&field_id=PROPERTY_1409&file_id=206419&ncc=y&download=y&download=y;Площадка отдыха км 873;05.12.2024;ГСК;05/12;
0502/-БЕТ;500;ПЛП 2;СТР Обход Адлера;Файл: Акт отбора проб бетона от 5 февраля 2025 г. В40 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=173437&field_id=PROPERTY_1409&file_id=205703&ncc=y&download=y&download=y;Восточный портал тоннельного комплекса БНС6;05.02.2025;ГЛК;0502/-БЕТ;
0502/-БЕТ2;500;ПЛП 2;СТР Обход Адлера;Файл: Акт отбора проб бетона от 5 февраля 2025 г. В30 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=173440&field_id=PROPERTY_1409&file_id=205706&ncc=y&download=y&download=y;Мостовой переход через р. Кудепста ОПL07 БНС5;05.02.2025;ГЛК;0502/-БЕТ2;
0502/-БЕТ3;500;ПЛП 2;СТР Обход Адлера;Файл: Акт отбора проб бетона от 5 февраля 2025 г. В35 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=173443&field_id=PROPERTY_1409&file_id=205709&ncc=y&download=y&download=y;Мостовой переход через р. Кудепста ОПL03 Ростверк;05.02.2025;ГЛК;0502/-БЕТ3;
0503/-БЕТ;500;ПЛП 2;СТР Обход Адлера;Файл: Акт отбора проб бетона от 5 марта 2025 г. В35 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174850&field_id=PROPERTY_1409&file_id=207000&ncc=y&download=y&download=y;Мостовой переход через р. Кудепста ОПR06 Ростверк;05.03.2025;ГЛК;0503/-БЕТ;
0503/-БЕТ;500;ПЛП 2.2;СТР Обход Адлера;Файл: Акт отбора проб бетона от 5 марта 2025 г. В35 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180614&field_id=PROPERTY_1409&file_id=212624&ncc=y&download=y&download=y;Мостовой переход через р. Кудепста;05.03.2025;ГЛК;0503/-БЕТ;
0512/-БЕТ;500;МЛ ДСМ 3;СТР Обход Адлера;Файл: Акт отбора проб бетона от 05 декабря 2024 г. В30 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=173030&field_id=PROPERTY_1409&file_id=205148&ncc=y&download=y&download=y;Восточный портал тоннельного комплекса БКС 6;05.12.2024;ГЛК;0512/-БЕТ;
06.01.25-01;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: ПК 353+72 - ПК 359+30 право (1)-001.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180275&field_id=PROPERTY_1409&file_id=212167&ncc=y&download=y&download=y;ПК 354+76 право +32,5 от оси (182,12);06.01.2025;ГЛК;06.01.25-01;
06.01.25-01;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: ПК 353+72 - ПК 359+30 право (1)-001.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180276&field_id=PROPERTY_1409&file_id=212168&ncc=y&download=y&download=y;ПК 354+76 право +32,5 от оси (182,12);06.01.2025;ГЛК;06.01.25-01;
06.01.25-01;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: ПК 353+72 - ПК 359+30 право (1)-001.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180277&field_id=PROPERTY_1409&file_id=212169&ncc=y&download=y&download=y;ПК 354+76 право +32,5 от оси (182,12);06.01.2025;ГЛК;06.01.25-01;
06.01.25-01;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: ПК 353+72 - ПК 359+30 право (1)-001.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180278&field_id=PROPERTY_1409&file_id=212171&ncc=y&download=y&download=y;ПК 354+76 право +32,5 от оси (182,12);06.01.2025;ГЛК;06.01.25-01;
06.01.25-01;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: ПК 353+72 - ПК 359+30 право (1)-001.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180279&field_id=PROPERTY_1409&file_id=212173&ncc=y&download=y&download=y;ПК 354+76 право +32,5 от оси (182,12);06.01.2025;ГЛК;06.01.25-01;
06.01.25-01;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: ПК 353+72 - ПК 359+30 право (1)-001.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180282&field_id=PROPERTY_1409&file_id=212175&ncc=y&download=y&download=y;ПК 354+76 право +32,5 от оси (181,60);06.01.2025;ГЛК;06.01.25-01;
06.01.25-01;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: ПК 353+72 - ПК 359+30 право (1)-001.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180285&field_id=PROPERTY_1409&file_id=212177&ncc=y&download=y&download=y;ПК 356+31 право +32,0 от оси (183,16);06.01.2025;ГЛК;06.01.25-01;
06.01.25-01;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: ПК 353+72 - ПК 359+30 право (1)-001.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180288&field_id=PROPERTY_1409&file_id=212179&ncc=y&download=y&download=y;ПК 356+31 право +32,0 от оси (182,20);06.01.2025;ГЛК;06.01.25-01;
06.01.25-01;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: ПК 353+72 - ПК 359+30 право (1)-001.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180327&field_id=PROPERTY_1409&file_id=212275&ncc=y&download=y&download=y;ПК 357+64 право +34,0 от оси (183,24);06.01.2025;ГЛК;06.01.25-01;
