ПЛП;Наименование объект;Номер акта отбора проб;Дата отбора проб;Место отбора проб;Лицо, предоставившее пробу;Дата поступления материала;Наименование материала;Документ о качестве;Предприятие-изготовитель;Номер протокола;Дата протокола;Результат испытаний;Примечание
ПЛП 4;КР УДС Макеевка;Мак/1;07.02.2025;ПК 88;ГСК;08.02.2025;Щебень фр. 20-40 мм по ГОСТ 8267;-;ГК Недра;07.02.2025-01;10.02.2025;Не соответствует;
МЛ ДСМ 3;СТР Обход Адлера;0412/-БЕТ;04.12.2024;Восточный портал тоннельного комплекса;ГЛК;05.12.2024;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;120/0101СРЦ;01.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2612/-БЕТ;26.12.2024;Мостовой переход через реку Кудепста ОП R03 БНС8;ГЛК;27.12.2024;Бетонные образцы-кубы;-;ООО СОЮЗ;121/0201СРЦ;02.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2612/-БЕТ2;26.12.2024;Восточный портал тоннельного комплекса БНС 16;ГЛК;27.12.2024;Бетонные образцы-кубы;-;ООО СОЮЗ;122/0201СРЦ;02.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;0512/-БЕТ;05.12.2024;Восточный портал тоннельного комплекса БКС 6;ГЛК;06.12.2024;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;123/0201СРЦ;02.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;0912/-БЕТ;09.12.2024;Мостовой переход через реку Кудепста ОП L03 БНС9;ГЛК;10.12.2024;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;124/0601СРЦ;06.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1012/-БЕТ;10.12.2024;Завод по изготовлению ТУБ для тоннеля ФМ-2;ГЛК;11.12.2024;Бетонные образцы-кубы;-;ООО СОЮЗ;125/0701СРЦ;07.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1112/-БЕТ;11.12.2024;Восточный портал тоннельного комплекса, КРУН;ГЛК;12.12.2024;Бетонные образцы-кубы;-;ООО СОЮЗ;126/0801СРЦ;08.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1212/-БЕТ;12.12.2024;Восточный портал тоннельного комплекса, БНС 116;ГЛК;13.12.2024;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;127/0901СРЦ;09.01.2025;Соответствует;
ПЛП 5;СТР ТР М-11 км 681 Пулково-1;13.01.2025;13.01.2025;Строительство ТР681 а/д М-11 Нева, Съезд С2;ГСК;16.01.2025;Песок по ГОСТ 8736;-;ООО СК Аврора;№17/01/25/1П/1358/М-11;17.01.2025;Соответствует;
ПЛП 5;СТР ТР М-11 км 681 Пулково-1;13.01.2025;13.01.2025;Строительство ТР681 а/д М-11 Нева, Съезд С2;ГСК;16.01.2025;Грунт по ГОСТ 25100;-;ООО СК Аврора;№23/01/25/1Г/1358/М-11;23.01.2025;Соответствует;
ПЛП 5;СТР ТР М-11 км 681 Пулково-1;28.12.2024;28.12.2024;Строительство ТР681 а/д М-11 Нева, Эстакада на съезде С6;ГСК;16.01.2025;Бетонные образцы-кубы;-;АО Бетоника;27/01/25/B25/1/1358/М-11;27.01.2025;Соответствует;
ПЛП 5;СТР ТР М-11 км 681 Пулково-1;29.12.2024;29.12.2024;Строительство ТР681 а/д М-11 Нева, Эстакада на съезде С6;ГСК;16.01.2025;Бетонные образцы-кубы;-;АО Бетоника;27/01/25/B25/2/1358/М-11;27.01.2025;Соответствует;
ПЛП 5;СТР ТР М-11 км 681 Пулково-1;05.01.2025;05.01.2025;Строительство ТР681 а/д М-11 Нева, Эстакада на съезде С5;ГСК;16.01.2025;Бетонные образцы-кубы;-;АО Бетоника;03/02/25/B25/1/1358;03.02.2025;Соответствует;
ПЛП 5;СТР ТР М-11 км 681 Пулково-1;08.01.2025;08.01.2025;Строительство ТР681 а/д М-11 Нева, Эстакада на съезде С5;ГСК;16.01.2025;Бетонные образцы-кубы;-;АО Бетоника;05/02/25/B25/1/1358;05.02.2025;Соответствует;
ПЛП 5;СТР ТР А-113 ПК 237+10 ? ПК 279+60 Малые Вяземы;243-2425;17.01.2025;ПК9+40 от ЛОС 2, Штабель;ГСК;20.01.2025;Песок по ГОСТ 8736;-;ООО Тэка-Сервис;21/01/25/1П/2425/А-113;21.01.2025;Соответствует;
ПЛП 5;СТР ТР А-113 ПК 237+10 ? ПК 279+60 Малые Вяземы;244-2425;17.01.2025;-;ГСК;20.01.2025;Грунт в кольцах ;-;;21/01/25/1К/2425/А-113;21.01.2025;Соответствует;
ПЛП 5;СТР ТР А-113 ПК 237+10 ? ПК 279+60 Малые Вяземы;245-2425;16.12.2024;ЛОС 2, ригель;ГСК;13.01.2025;Бетонные образцы-кубы;-;ООО Куб;22/01/25/B30/1/2425/А-113;22.01.2025;Соответствует;
ПЛП 5;СТР ТР А-113 ПК 237+10 ? ПК 279+60 Малые Вяземы;246-2425;18.12.2024;ЛОС 2, колонна;ГСК;13.01.2025;Бетонные образцы-кубы;-;ООО Куб;22/01/25/B30/2/2425/А-113;22.01.2025;Соответствует;
ПЛП 5;СТР М11 ТР км 385;10-08-2025-2;10.03.2025;а/д М-11, км385, штабель;ГСК;12.03.2025;Песок по ГОСТ 8736;-;ООО ЗемСтройПроект;17/03/25/1П/М-11;17.03.2025;Соответствует;
ПЛП 5;СТР М11 ТР км 385;10-08-2025-1;10.03.2025;а/д М-11, км385, штабель;ГСК;12.03.2025;ЩПС С-5 по ГОСТ 25607;-;ООО Якима Гранит;17/03/25/1Щ/М-11;17.03.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1312/-БЕТ;13.12.2024;Мостовой переход через р. Кудепста ОПR06 БНС7;ГЛК;14.12.2024;Бетонные образцы-кубы;-;ООО СОЮЗ;128/1001СРЦ;10.01.2025;Соответствует;
ПЛП 5;СТР ТР№20 А-113 (ЦКАД ПК№3);1/АД-1509;21.02.2025;С-1, ПК9+00;ГСК;21.02.2025;Песок по ГОСТ 8736;-;ООО КПК Ресурс;26/02/25/1П/1509/А-113;26.02.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1312/-БЕТ2;13.12.2024;Мостовой переход через р. Кудепста ОПL06 тампонаж;ГЛК;14.12.2024;Бетонные образцы-кубы;-;ООО СОЮЗ;129/1001СРЦ;10.01.2025;Соответствует;
ПЛП 5;СТР ТР№20 А-113 (ЦКАД ПК№3);2/АД-1509;10.03.2025;Временная объездная дорога ПК5+06 (Отм. 189.25);ГСК;10.03.2025;Грунт по ГОСТ 25100;-;;13/03/25/1Г/1509/А-113;13.03.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1512/-БЕТ;15.12.2024;Восточный портал тоннельного комплекса, КРУН;ГЛК;16.12.2024;Бетонные образцы-кубы;-;ООО СОЮЗ;130/1201СРЦ;12.01.2025;Соответствует;
ПЛП 5;СТР ТР№20 А-113 (ЦКАД ПК№3);3/АД-1509;10.03.2025;Временная объездная дорога ПК4+95 (Отм. 189,8, 189,2, 188,0));ГСК;10.03.2025;Грунт по ГОСТ 25100;-;;13/03/25/2Г/1509/А-113, 13/03/25/3Г/1509/А-113, 13/03/25/4Г/1509/А-113;13.03.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2512/-ОК;25.12.2024;Восточный портал тоннельного комплекса, Ливневая канализация;ГЛК;26.12.2024;Грунт в кольцах ;-;ООО СВиРТ;131/1301СРЦ;13.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1001/-ОК;10.01.2025;Восточный портал тоннельного комплекса, Ливневая канализация;ГЛК;11.01.2025;Грунт в кольцах ;-;ООО СВиРТ;132/1301СРЦ;13.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1612/-БЕТ;16.12.2024;Мостовой переход через р. Кудепста, ОПR08 БНС11;ГЛК;17.12.2024;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;133/1301СРЦ;13.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1712/-БЕТ2;17.12.2024;Мостовой переход через р. Кудепста, ОПR06 БНС6;ГЛК;18.12.2024;Бетонные образцы-кубы;-;ООО СОЮЗ;134/1401СРЦ;14.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1712/-БЕТ;17.12.2024;Восточный портал тоннельного комплекса, БНС112;ГЛК;18.12.2024;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;135/1401СРЦ;14.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1812/-БЕТ1;18.12.2024;Мостовой переход через р. Кудепста, ОП L06 БНС10;ГЛК;19.12.2024;Бетонные образцы-кубы;-;ООО СОЮЗ;136/1501СРЦ;15.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1812/-БЕТ;18.12.2024;Мостовой переход через р. Кудепста, ОПR08 БНС10;ГЛК;19.12.2024;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;137/1501СРЦ;15.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;0901/-БЕТ;09.01.2025;Восточный портал тоннельного комплекса, Ливневая канализация;ГЛК;10.01.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;138/1601СРЦ;16.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1001/-БЕТ;10.01.2025;Мостовой переход через р. Кудепста, ОПR04 БНС9;ГЛК;11.01.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;139/1701СРЦ;17.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1001/-БЕТ2;10.01.2025;Восточный портал тоннельного комплекса, БНС 121;ГЛК;11.01.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;140/1701СРЦ;17.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2012/-БЕТ3;20.12.2024;Мостовой переход через р. Кудепста, ОПR04 БНС2;ГЛК;21.12.2024;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;141/1701СРЦ;17.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2012/-БЕТ;20.12.2024;Мостовой переход через р. Кудепста, ОПR07 БНС6;ГЛК;21.12.2024;Бетонные образцы-кубы;-;ООО СОЮЗ;142/1701СРЦ;17.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2012/-БЕТ2;20.12.2024;Восточный портал тоннельного комплекса, БНС88, БНС113;ГЛК;21.12.2024;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;143/1701СРЦ;17.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1201/-БЕТ;12.01.2025;Мостовой переход через реку Кудепста ОП L06 Ростверк;ГЛК;13.01.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;144/1901СРЦ;19.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1301/-БЕТ;13.01.2025;Мостовой переход через реку Кудепста ОП L05 Ростверк;ГЛК;14.01.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;145/2001СРЦ;20.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2312/-БЕТ;23.12.2024;Разворотный путепровод через А-149, ОП8 Тампонаж;ГЛК;24.12.2024;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;146/2001СРЦ;20.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1401/-БЕТ;14.01.2025;Мостовой переход через р. Кудепста, ОП R04;ГЛК;15.01.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;147/2101СРЦ;21.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1401/-БЕТ2;14.01.2025;Мостовой переход через реку Кудепста ОП L08 БНС2;ГЛК;15.01.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;148/2101СРЦ;21.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2412/-БЕТ;24.12.2024;Мостовой переход через реку Кудепста ОП R04 БНС4;ГЛК;25.12.2024;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;149/2101СРЦ;21.01.2025;Соответствует;
ПЛП 5;СТР ТР№20 А-113 (ЦКАД ПК№3);4/АД-1509;10.03.2025;Съезд №3 ПК5+00 (Отм. 190,2);ГСК;10.03.2025;Грунт по ГОСТ 25100;-;;13/03/25/5Г/1509/А-113;13.03.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2412/-БЕТ2;24.12.2024;Восточный портал тоннельного комплекса, КРУН;ГЛК;25.12.2024;Бетонные образцы-кубы;-;ООО СОЮЗ;150/2101СРЦ;21.01.2025;Соответствует;
ПЛП 5;СТР ТР№20 А-113 (ЦКАД ПК№3);5/АД-1509;10.03.2025;Съезд №3 ПК5+40 (Отм. 191,45);ГСК;10.03.2025;Грунт по ГОСТ 25100;-;;13/03/25/6Г/1509/А-113;13.03.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1501/-БЕТ;15.01.2025;Мостовой переход через р. Кудепста, ОП R03 БНС10;ГЛК;16.01.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;151/2201СРЦ;22.01.2025;Соответствует;
ПЛП 5;СТР ТР№20 А-113 (ЦКАД ПК№3);6/АД-1509;10.03.2025;а/д А-107, ПК4+35 Труба (Ось трубы 6м от вход. оголовка) (Отм. 164.1, 162.6, 161.6, 160.8, 160.7);ГСК;10.03.2025;Грунт по ГОСТ 25100;-;;13/03/25/7Г/1509/А-113, 13/03/25/8Г/1509/А-113, 13/03/25/9Г/1509/А-113, 13/03/25/10Г/1509/А-113, 13/03/25/11Г/1509/А-113;13.03.2025;Соответствует;
ПЛП 5;СТР ТР№20 А-113 (ЦКАД ПК№3);21/АД-1509;18.03.2025;Съезд №3 ПК3+00, Ось;ГСК;18.03.2025;Грунт по ГОСТ 25100;-;;20/03/25/1Г/1509/А-113;20.03.2025;Соответствует;
ПЛП 5;СТР ТР№20 А-113 (ЦКАД ПК№3);16/АД-1509, 17/АД-1509, 18/АД-1509, 19/АД-1509, 20/АД-1509;18.03.2025;Съезд №1, Съезд №2, Съезд №3, Временная объездная дорога;ГСК;18.03.2025;Грунт в кольцах ;-;;20/03/25/1К/1509/А-113;20.03.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2012/-БЕТ2;20.12.2024;Восточный портал тоннельного комплекса, БНС88, БНС113;ГЛК;21.12.2024;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;143/1701СРЦ;17.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1601/-БЕТ;16.01.2025;Разворотный путепровод через А-149, ОП6 1 этап Тампонаж;ГЛК;17.01.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;152/2301СРЦ;23.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2612/-БЕТ;26.12.2024;Мостовой переход через реку Кудепста ОП R03 БНС8;ГЛК;27.12.2024;Бетонные образцы-кубы;-;ООО СОЮЗ;153/2301СРЦ;23.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1401/-ОД;14.01.2025;Восточный портал тоннельного комплекса, Штабель у Ливневой канализации;ГЛК;14.01.2025;Песок по ГОСТ 31424;-;ООО СВиРТ;154/2301СРЦ;23.01.2025;Соответствует;Совместные испытания
ПЛП 2;СТР Обход Адлера;2612/-БЕТ2;26.12.2024;Восточный портал тоннельного комплекса БНС 16;ГЛК;23.01.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;1/574;23.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2101/-БЕТ;21.01.2025;Мостовой переход через р. Кудепста, ОПR03 БНС7;ГЛК;22.01.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;156/2801РЦСС;28.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2301/-БЕТ;23.01.2025;Восточный портал тоннельного комплекса, БНС124;ГЛК;24.01.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;157/3001РЦСС;30.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2301/-БЕТ2;23.01.2025;Восточный портал тоннельного комплекса, Ливневая канализация;ГЛК;24.01.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;158/3001СРЦ;30.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2301/-БЕТ3;23.01.2025;Мостовой переход через р. Кудепста ОПL08 БНС7;ГЛК;24.01.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;159/3001РЦСС;30.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2401/-БЕТ;24.01.2025;Мостовой переход через р. Кудепста ОПR05 БНС3;ГЛК;25.01.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;160/3101РЦСС;31.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2401/-БЕТ2;24.01.2025;Восточный портал тоннельного комплекса БНС 9;ГЛК;25.01.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;161/3101РЦСС;31.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2801/-БЕТ2;28.01.2025;Восточный портал тоннельного комплекса БНС 127;ГЛК;29.01.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;162/0402РЦСС;04.02.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2801/-БЕТ;28.01.2025;Мостовой переход через р. Кудепста ОПR03 БНС3;ГЛК;29.01.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;163/0402РЦСС;04.02.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;23.03/25-05;23.03.2025;ПК 1260. Накопитель;ГЛК;23.03.2025;ПГС по ГОСТ 23735;-;ООО Речной порт Бирск;23.03/25-05;24.03.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2801/-БЕТ4;28.01.2025;Мостовой переход через р. Кудепста ОПL08 БНС3;ГЛК;29.01.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;164/0402РЦСС;04.02.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;23.03/25-01;23.03.2025;ПК 1264.;ГЛК;23.03.2025;Песок по ГОСТ 8736;-;ООО Закамский нерудный карьер;23.03/25-01;24.03.2025;Соответствует;Приготовление бетонной смеси
МЛ ДСМ 3;СТР Обход Адлера;2801/-БЕТ3;28.01.2025;Мостовой переход через р. Кудепста ОПL02 подб. осн;ГЛК;29.01.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;165/0402РЦСС;04.02.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;0302/-ОК;03.02.2025;Восточный портал тоннельного комплекса, Ливневая канализация;ГЛК;04.02.2025;Грунт в кольцах ;-;ООО СВиРТ;166/0502РЦСС;05.02.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;24.02/25-09;24.02.2025;ПК 1394;ГЛК;24.02.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;24.02/25-09;24.03.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;3001/-БЕТ2;30.01.2025;Мостовой переход через р. Кудепста ОПR05 ростверк;ГЛК;31.01.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;167/0602РЦСС;06.02.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;24.02/25-10;24.02.2025;ПК 1324+53,48 ИССО 24 ПК 5+30 ВПТ а/д Подъезд к Старый Шардак;ГЛК;24.02.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;24.02/25-10;24.03.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;3001/-БЕТ;30.01.2025;Мостовой переход через р. Кудепста ОПR03 БНС4;ГЛК;31.01.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;168/0602РЦСС;06.02.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;0901/-БЕТ;09.01.2025;Восточный портал тоннельного комплекса, Ливневая канализация;ГЛК;10.01.2025;Бетонные образцы-кубы;-;;169/0602РЦСС;06.02.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;3101/-БЕТ;31.01.2025;Восточный портал тоннельного комплекса, Ливневая канализация;ГЛК;01.02.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;170/0702РЦСС;07.02.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1001/-БЕТ;10.01.2025;Мостовой переход через р. Кудепста, ОПR04 БНС9;ГЛК;11.01.2025;Бетонные образцы-кубы;-;;171/0702РЦСС;07.02.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1001/-БЕТ2;10.01.2025;Восточный портал тоннельного комплекса, БНС 121;ГЛК;11.01.2025;Бетонные образцы-кубы;-;;172/0702РЦСС;07.02.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1201/-БЕТ;12.01.2025;Мостовой переход через реку Кудепста ОП L06 Ростверк;ГЛК;13.01.2025;Бетонные образцы-кубы;-;;173/0902РЦСС;09.02.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;0302/-БЕТ;03.02.2025;Мостовой переход через реку Кудепста ОП L04 БНС6;ГЛК;04.02.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;174/1002РЦСС;10.02.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1301/-БЕТ;13.01.2025;Мостовой переход через реку Кудепста ОП L05 Ростверк;ГЛК;14.01.2025;Бетонные образцы-кубы;-;;175/1002РЦСС;10.02.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1401/-БЕТ;14.01.2025;Мостовой переход через р. Кудепста, ОП R04;ГЛК;15.01.2025;Бетонные образцы-кубы;-;;176/1102РЦСС;11.02.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1401/-БЕТ2;14.01.2025;Мостовой переход через реку Кудепста ОП L08 БНС2;ГЛК;15.01.2025;Бетонные образцы-кубы;-;;177/1102РЦСС;11.02.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1501/-БЕТ;15.01.2025;Мостовой переход через р. Кудепста, ОП R03 БНС10;ГЛК;16.01.2025;Бетонные образцы-кубы;-;;178/1202РЦСС;12.02.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1601/-БЕТ;16.01.2025;Разворотный путепровод через А-149, ОП6 1 этап Тампонаж;ГЛК;17.01.2025;Бетонные образцы-кубы;-;;179/1302РЦСС;13.02.2025;Соответствует;
ПЛП 2;СТР Обход Адлера;2101/-БЕТ;21.01.2025;Мостовой переход через реку Кудепста ОП R03 БНС7;ГЛК;10.02.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;2/574;18.02.2025;Соответствует;
ПЛП 2;СТР Обход Адлера;2301/-БЕТ;23.01.2025;Восточный портал тоннельного комплекса БНС124;ГЛК;10.02.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;3/574;20.02.2025;Соответствует;
ПЛП 2;СТР Обход Адлера;2301/-БЕТ2;23.01.2025;Восточный портал тоннельного комплекса, Ливневая канализация;ГЛК;10.02.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;4/574;20.02.2025;Соответствует;
ПЛП 2;СТР Обход Адлера;2301/-БЕТ3;23.01.2025;Мостовой переход через р. Кудепста ОПL08 БНС7;ГЛК;10.02.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;5/574;20.02.2025;Соответствует;
ПЛП 2;СТР Обход Адлера;0502/-БЕТ;05.02.2025;Восточный портал тоннельного комплекса БНС6;ГЛК;21.02.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;6/574;21.02.2025;Соответствует;
ПЛП 2;СТР Обход Адлера;0502/-БЕТ2;05.02.2025;Мостовой переход через р. Кудепста ОПL07 БНС5;ГЛК;21.02.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;7/574;21.02.2025;Соответствует;
ПЛП 2;СТР Обход Адлера;0502/-БЕТ3;05.02.2025;Мостовой переход через р. Кудепста ОПL03 Ростверк;ГЛК;21.02.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;8/574;21.02.2025;Соответствует;
ПЛП 2;СТР Обход Адлера;0602/-БЕТ;06.02.2025;Реконструкция путепровода по ул. Ивановская, ОП4;ГЛК;21.02.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;9/574;21.02.2025;Соответствует;
ПЛП 2;СТР Обход Адлера;0702/-БЕТ;07.02.2025;Мостовой переход через р. Кудепста ОПL04 БНС10;ГЛК;21.02.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;10/574;21.02.2025;Соответствует;
ПЛП 2;СТР Обход Адлера;0702/-БЕТ2;07.02.2025;Восточный портал тоннельного комплекса БНС 10;ГЛК;21.02.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;11/574;21.02.2025;Соответствует;
ПЛП 2;СТР Обход Адлера;0702/-БЕТ3;07.02.2025;Реконструкция путепровода по ул. Ивановская, ОП3;ГЛК;21.02.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;12/574;21.02.2025;Соответствует;
ПЛП 5;СТР ТР№20 А-113 (ЦКАД ПК№3);7/АД-1509;10.03.2025;Съезд 1, ПК6+70, штабель;ГСК;10.03.2025;Песок по ГОСТ 8736;-;ООО КПК Ресурс;12/03/25/1П/1509/А-113;12.03.2025;Соответствует;
ПЛП 5;СТР ТР№20 А-113 (ЦКАД ПК№3);8/АД-1509;10.03.2025;Съезд №3, ПК2+00;ГСК;10.03.2025;Песок по ГОСТ 8736;-;;12/03/25/1К/1509/А-113;12.03.2025;Соответствует;
ПЛП 5;СТР ТР№20 А-113 (ЦКАД ПК№3);9/АД-1509, 10/АД-1509, 11/АД-1509, 12/АД-1509, 13/АД-1509, 14/АД-1509, 15/АД-1509;10.03.2025;Съезд №1, Съезд №2;ГСК;18.03.2025;Грунт в кольцах ;-;;20/03/25/2К/1509/А-113;20.03.2025;Соответствует;
ПЛП 5;СТР ТР№20 А-113 (ЦКАД ПК№3);22/АД-1509;18.03.2025;Съезд №1, ПК3+50, Штабель;ГСК;18.03.2025;ЩПС С-10 по ГОСТ 25607;-;ООО Карьер-Инвест;20/03/25/1Щ/1509/А-113;20.03.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;26;22.01.2025;ПК1145+00 (Прямое направление), шнек асфальтоукладчика;ГСК;28.01.2025;АБС SMA-16 по ГОСТ Р 58401.2;-;;30/01/25/1/1025/М-4;30.01.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;25;25.01.2025;ПК1149+00, ПК1153+00 (Прямое направление, полоса №1);ГСК;28.01.2025;Керны АБ SMA-16 по ГОСТ Р 58401.2;-;;30/01/25/2/1025/М-4;30.01.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;23;16.01.2025;ПК1158+00, ПК1160+00;ГСК;16.01.2025;Керны АБ SP-22Э по ГОСТ Р 58401.1;-;;17/01/25/АБ/1025/М-4;17.01.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;22;15.01.2025;ПК1158+50 (3 полоса, Обратное направление), Шнек асфальтоукладчика;ГСК;16.01.2025;АБС SP-22Э по ГОСТ Р 58401.1;-;;18/01/25/АБС/1025/М-4;18.01.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;20;05.01.2025;ПК1160+00 (Прямое направление, 5 полоса), шнек асфальтоукладчика;ГСК;14.01.2025;АБС SP-32Э по ГОСТ Р 58401.1;-;ООО ТрансСтройМеханизация;16/01/25/АБС/1025/М-4;16.01.2025;Соответствует;
