ПЛП;Наименование объект;Номер акта отбора проб;Дата отбора проб;Место отбора проб;Лицо, предоставившее пробу;Дата поступления материала;Наименование материала;Документ о качестве;Предприятие-изготовитель;Номер протокола;Дата протокола;Результат испытаний;Примечание
ПЛП 5;РЕМ А-107 км 24+889-км 54+794;17/07/26/1/729;17.07.2026;ПК 55+00 лево 1,5 м от кромки;ГСК;17.07.2026;Керны АБ SMA-16 по ГОСТ Р 58401.2;-;ООО ТехСтройКонтракт;17/07/26/1/729  ;18.07.2026;Соответствует;
ПЛП 5;РЕМ А-107 км 24+889-км 54+794;17/07/26/2/729 ;17.07.2026;ПК 55+00 лево 1,5 м от кромки;ГСК;17.07.2026;Керны АБ SP-22Э по ГОСТ Р 58401.1;-;ООО ТехСтройКонтракт;17/07/26/2/729 ;18.07.2026;Соответствует;
ПЛП 5;РЕМ А-107 км 24+889-км 54+794;17/07/26/4/729;17.07.2026;ПК 52+00 право 1,5 м от кромки;ГСК;17.07.2026;Керны АБ SP-22Э по ГОСТ Р 58401.1;-;ООО ТехСтройКонтракт;17/07/26/3/729;18.07.2026;Соответствует;
ПЛП 5;РЕМ А-107 км 24+889-км 54+794;17/07/26/3/729 ;17.07.2026;ПК 52+00 право 1,5 м от кромки;ГСК;17.07.2026;Керны АБ SMA-16 по ГОСТ Р 58401.2;-;ООО ТехСтройКонтракт;17/07/26/4/729 ;18.07.2026;Соответствует;
ПЛП 5;РЕМ А-107 км 24+889-км 54+794;17/07/26/5/729 ;17.07.2026;ПК 126+00 право 1,5 м от кромки;ГСК;17.07.2026;Керны АБ SMA-16 по ГОСТ Р 58401.2;-;ООО ТехСтройКонтракт;17/07/26/5/729 ;18.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№30/06-К;30.06.2026;КМ 1002+00, ОП№1;ГЛК;30.06.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№30/06-К;30.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№30/06/01-К;30.06.2026;ПК 9794+83 ОП№1;ГЛК;30.06.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№30/06/01-К;30.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№30/06/01-ДСО;30.06.2026;ЛПЧ, ПК 9818+00;ГЛК;30.06.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№30/06/01-ДСО;30.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№01/07/01-ДСО;01.07.2026;ЛПЧ, ПК 9968+00, ПК 9966+00, ПК 9970+00;ГЛК;01.07.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№01/07/01-ДСО;01.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№01/07-ДСО;01.07.2026;ЛПЧ, ПК 9814+00, ПК 9816+00, ПК 9818+00;ГЛК;01.07.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№01/07-ДСО;01.07.2026;Соответствует;
